title,seniority,location,tech_stack,company_size,years_experience,salary
HR,Lead,India,Rust,Mid-Size,14,54318.04
DevOps,Senior,SF,Rust,Startup,2,166434.23
Data Scientist,Mid,New York,Rust,Big Tech,10,233757.06
QA Engineer,Principal,India,Javascript,Startup,5,41496.59
QA Engineer,Principal,Germany,Go,Mid-Size,2,202798.43
QA Engineer,Principal,London,C++,Startup,23,216599.59
Data Scientist,Senior,New York,Go,Big Tech,10,344364.47
DevOps,Lead,Remote,Javascript,Big Tech,14,341483.6
QA Engineer,Senior,SF,Rust,Mid-Size,12,245154.77
Designer,Principal,Germany,Java,Big Tech,19,338847.25
Sales,Mid,Remote,Rust,Startup,9,93361.25
Data Scientist,Junior,London,Rust,Startup,5,57796.78
Data Scientist,Lead,New York,Javascript,Startup,14,239866.87
DevOps,Lead,London,Go,Big Tech,24,353665.08
Data Scientist,Senior,New York,Rust,Startup,17,215171.93
Data Scientist,Lead,India,Go,Startup,17,52266.68
QA Engineer,Principal,SF,Python,Startup,6,238019.49
DevOps,Principal,India,C++,Mid-Size,14,95357.87
QA Engineer,Senior,India,Go,Big Tech,17,61926.16
Sales,Principal,London,Java,Big Tech,17,432129.02
HR,Mid,SF,C++,Big Tech,19,189791.7
Sales,Senior,New York,Java,Mid-Size,8,194294.8
HR,Mid,New York,Rust,Big Tech,23,205784.19
QA Engineer,Junior,Germany,C++,Mid-Size,1,45706.17
Sales,Mid,Remote,Go,Mid-Size,7,122369.41
DevOps,Junior,Germany,C++,Big Tech,19,108915.74
Software Engineer,Junior,Germany,Rust,Startup,1,46392.9
QA Engineer,Mid,New York,Javascript,Startup,10,104040.49
HR,Senior,London,Java,Big Tech,25,192745.49
Designer,Principal,India,Rust,Big Tech,6,99686.49
HR,Principal,India,Javascript,Mid-Size,5,54665.84
Designer,Junior,India,C++,Big Tech,9,24152.52
Data Scientist,Junior,SF,C++,Mid-Size,4,98204.04
Sales,Senior,New York,Rust,Big Tech,10,295422.88
Designer,Lead,London,Go,Startup,0,128271.3
HR,Mid,SF,C++,Startup,1,86763.7
Data Scientist,Junior,Remote,Go,Big Tech,23,134670.36
Software Engineer,Principal,London,Go,Mid-Size,0,283006.8
DevOps,Senior,Germany,Go,Startup,18,138863.72
DevOps,Mid,London,Python,Mid-Size,1,83435.16
DevOps,Senior,London,Javascript,Big Tech,20,256338.24
Designer,Mid,India,Javascript,Big Tech,19,37355.32
Software Engineer,Mid,London,C++,Startup,22,99018.31
Designer,Junior,Germany,C++,Big Tech,20,85270.14
Sales,Senior,Germany,Go,Startup,23,129368.79
Designer,Senior,New York,Python,Mid-Size,3,159153.62
Software Engineer,Principal,London,Go,Startup,11,264178.32
Software Engineer,Principal,India,Python,Startup,21,65414.81
Sales,Junior,London,Go,Mid-Size,19,89510.99
Software Engineer,Junior,Remote,Java,Startup,17,63218.51
HR,Lead,Remote,Java,Startup,0,94969.86
Software Engineer,Principal,India,Rust,Big Tech,0,96551.58
DevOps,Mid,New York,Go,Mid-Size,23,207988.75
HR,Senior,New York,C++,Startup,13,140275.47
HR,Junior,Germany,Javascript,Mid-Size,3,42479.59
Sales,Senior,Germany,Rust,Mid-Size,4,142465.47
Product Manager,Senior,SF,C++,Startup,10,202818.7
Product Manager,Lead,India,Java,Big Tech,23,84513.45
Software Engineer,Principal,London,Go,Mid-Size,22,372082.46
HR,Junior,India,Rust,Startup,12,13626.61
Product Manager,Senior,SF,Go,Mid-Size,15,324917.37
Product Manager,Junior,Germany,Java,Big Tech,23,103838.41
Software Engineer,Mid,India,Rust,Big Tech,12,46728.56
Product Manager,Lead,India,Java,Big Tech,23,93263.1
Designer,Mid,Germany,Python,Startup,21,63369.71
Data Scientist,Junior,SF,Java,Startup,25,95178.77
Sales,Junior,Germany,Go,Big Tech,1,81137.63
Data Scientist,Principal,New York,Javascript,Startup,15,333282.32
Software Engineer,Senior,London,Java,Big Tech,5,200723.81
DevOps,Senior,Germany,C++,Startup,13,120913.88
Sales,Mid,SF,Javascript,Big Tech,0,156262.5
Software Engineer,Lead,Remote,Python,Mid-Size,16,228775.51
HR,Senior,New York,Rust,Big Tech,10,285846.23
DevOps,Principal,Remote,Rust,Big Tech,18,499934.69
Data Scientist,Mid,Germany,Javascript,Startup,2,69095.23
Software Engineer,Mid,New York,Rust,Startup,10,129186.06
HR,Principal,London,Java,Startup,4,157926.72
Sales,Lead,Germany,Javascript,Startup,16,147949.11
Sales,Principal,London,Go,Startup,25,263522.19
QA Engineer,Lead,India,Java,Startup,21,36792.01
HR,Principal,Remote,Java,Mid-Size,6,240633.6
Designer,Principal,New York,Java,Big Tech,9,469038.32
Product Manager,Junior,London,Go,Big Tech,10,121917.51
DevOps,Mid,SF,Python,Big Tech,2,197629.76
HR,Principal,London,C++,Mid-Size,19,270081.98
QA Engineer,Principal,SF,Rust,Big Tech,9,601340.55
Product Manager,Senior,Germany,Javascript,Mid-Size,9,153884.81
Product Manager,Mid,New York,Python,Mid-Size,13,173071.15
Software Engineer,Senior,London,Javascript,Mid-Size,11,166511.4
Product Manager,Mid,London,Rust,Big Tech,14,199842.63
Designer,Senior,New York,Go,Mid-Size,9,215234.29
Sales,Principal,London,Java,Big Tech,9,386807.23
QA Engineer,Principal,SF,Java,Big Tech,25,589216.21
Product Manager,Junior,London,Go,Startup,18,74777.27
Software Engineer,Senior,Remote,Python,Startup,0,92748.14
Designer,Lead,Germany,Python,Mid-Size,23,180673.01
Data Scientist,Junior,India,Javascript,Mid-Size,25,22617.57
Sales,Senior,SF,Go,Big Tech,9,345291.38
Sales,Senior,Remote,Python,Mid-Size,1,134800.61
QA Engineer,Junior,Germany,Go,Mid-Size,16,72114.45
Sales,Principal,New York,Rust,Big Tech,23,608683.18
Product Manager,Senior,SF,Java,Mid-Size,6,230409.02
Software Engineer,Principal,India,Java,Mid-Size,6,65911.85
Sales,Junior,Germany,Java,Big Tech,19,96811.44
Sales,Principal,India,Go,Big Tech,8,98802.14
Data Scientist,Mid,New York,Go,Startup,21,138822.81
Data Scientist,Lead,New York,Javascript,Big Tech,1,314408.47
DevOps,Senior,SF,Java,Startup,13,204838.98
Designer,Lead,London,Javascript,Mid-Size,16,198182.44
Product Manager,Principal,New York,Java,Big Tech,0,454859.1
Sales,Senior,Germany,Javascript,Big Tech,8,172692.2
HR,Principal,London,Javascript,Big Tech,19,347714.22
Sales,Mid,Remote,Rust,Mid-Size,20,129254.52
Software Engineer,Junior,India,Javascript,Startup,18,15004.1
DevOps,Senior,London,Go,Mid-Size,3,176209.12
Designer,Mid,India,Javascript,Mid-Size,7,24995.49
HR,Mid,London,Java,Big Tech,12,130359.44
DevOps,Senior,Remote,Javascript,Startup,3,111912.52
QA Engineer,Principal,New York,Python,Mid-Size,8,326541.46
Designer,Mid,Remote,C++,Big Tech,8,145627.87
Sales,Lead,New York,Java,Mid-Size,21,304623.37
Sales,Mid,New York,Python,Mid-Size,17,162192.89
Designer,Principal,India,Java,Big Tech,11,96343.46
Sales,Principal,Germany,Go,Big Tech,9,400363.59
Product Manager,Lead,Remote,C++,Startup,10,167834.47
Designer,Mid,London,C++,Mid-Size,6,99594.63
DevOps,Principal,Remote,Go,Big Tech,8,474770.06
Designer,Senior,India,C++,Big Tech,5,49000.45
HR,Junior,New York,Go,Startup,18,72901.72
Sales,Junior,India,Python,Startup,15,13969.97
Product Manager,Junior,SF,Rust,Big Tech,14,204242.56
Product Manager,Mid,SF,Java,Startup,6,113452.04
QA Engineer,Lead,London,Go,Big Tech,15,292404.68
DevOps,Principal,India,Java,Mid-Size,4,67693.75
Data Scientist,Senior,London,Python,Startup,15,134967.14
Data Scientist,Senior,London,Rust,Mid-Size,0,155070.49
Designer,Mid,SF,Python,Mid-Size,18,154871.61
QA Engineer,Junior,London,C++,Mid-Size,4,57873.39
Software Engineer,Mid,SF,Java,Big Tech,6,208138.0
Designer,Lead,New York,Rust,Mid-Size,18,310505.97
QA Engineer,Lead,India,C++,Mid-Size,21,51529.88
DevOps,Principal,London,Rust,Mid-Size,4,329458.64
DevOps,Principal,SF,C++,Big Tech,16,697352.48
DevOps,Lead,Remote,Python,Mid-Size,25,256261.69
DevOps,Lead,London,Go,Mid-Size,21,279862.45
DevOps,Lead,Germany,Java,Startup,7,129442.87
QA Engineer,Mid,New York,Javascript,Big Tech,0,129149.84
QA Engineer,Lead,New York,Javascript,Mid-Size,1,197116.71
Product Manager,Senior,Remote,Python,Startup,14,134629.63
HR,Junior,SF,Java,Big Tech,19,125666.18
Data Scientist,Lead,London,Java,Big Tech,17,306630.72
Sales,Junior,SF,Python,Big Tech,10,147825.26
DevOps,Mid,New York,Java,Big Tech,24,236204.67
Software Engineer,Junior,SF,Go,Big Tech,9,175485.45
Sales,Mid,New York,Python,Big Tech,23,209662.55
QA Engineer,Senior,SF,Go,Mid-Size,23,247648.7
Software Engineer,Mid,Remote,Java,Mid-Size,3,96604.32
Software Engineer,Mid,India,Python,Mid-Size,4,24566.13
Software Engineer,Principal,Remote,Java,Mid-Size,3,296715.3
Product Manager,Lead,Remote,Python,Startup,12,198437.98
QA Engineer,Lead,India,Java,Mid-Size,24,47878.88
Software Engineer,Senior,India,Go,Big Tech,12,77676.03
DevOps,Senior,London,Go,Mid-Size,17,204549.23
Designer,Lead,London,Java,Mid-Size,23,206757.56
Software Engineer,Principal,Remote,Python,Big Tech,1,349398.12
Product Manager,Lead,Remote,Javascript,Mid-Size,15,241668.18
Sales,Principal,New York,Go,Mid-Size,0,326759.87
QA Engineer,Senior,New York,Go,Mid-Size,25,250335.59
HR,Junior,London,C++,Startup,18,49708.85
Product Manager,Senior,Germany,Javascript,Mid-Size,8,158248.08
Software Engineer,Senior,Germany,Java,Big Tech,2,154540.25
QA Engineer,Mid,London,Python,Big Tech,24,136702.9
Designer,Mid,New York,C++,Mid-Size,6,142112.53
Software Engineer,Mid,New York,Java,Mid-Size,9,151840.5
Product Manager,Mid,Germany,Rust,Mid-Size,0,95103.91
Data Scientist,Principal,SF,Go,Big Tech,9,671839.32
DevOps,Lead,SF,Rust,Big Tech,20,527083.57
HR,Junior,New York,Go,Startup,8,70879.69
Sales,Senior,SF,Go,Startup,14,216767.66
Product Manager,Principal,India,Rust,Startup,14,75117.81
QA Engineer,Junior,London,Rust,Big Tech,2,80079.29
HR,Principal,London,Java,Startup,24,190880.17
HR,Principal,New York,C++,Mid-Size,4,298168.73
HR,Senior,Remote,C++,Mid-Size,8,131321.58
Software Engineer,Lead,Germany,Rust,Big Tech,25,331310.18
DevOps,Mid,New York,Java,Startup,21,128983.86
Software Engineer,Lead,SF,C++,Mid-Size,8,315661.95
QA Engineer,Senior,Germany,Java,Big Tech,22,170553.41
Software Engineer,Senior,Remote,Java,Startup,6,110825.86
Data Scientist,Senior,SF,Go,Mid-Size,23,348552.96
DevOps,Junior,India,C++,Startup,22,18927.24
DevOps,Lead,SF,C++,Big Tech,11,469488.78
QA Engineer,Lead,India,Go,Startup,24,46964.49
Sales,Principal,Germany,Rust,Big Tech,8,395707.05
Data Scientist,Principal,India,Go,Startup,5,60534.71
Product Manager,Principal,Germany,C++,Mid-Size,22,317911.39
Software Engineer,Senior,Germany,C++,Big Tech,1,166726.73
Designer,Lead,Germany,Rust,Big Tech,8,253614.68
Software Engineer,Senior,Germany,Go,Big Tech,16,235344.24
HR,Junior,Germany,Python,Startup,0,31703.48
Software Engineer,Principal,SF,Python,Startup,18,327354.6
Product Manager,Senior,Germany,Rust,Mid-Size,5,161674.2
Software Engineer,Senior,SF,Go,Big Tech,4,296858.01
Data Scientist,Junior,Germany,Go,Big Tech,1,80466.99
Data Scientist,Mid,India,Java,Startup,8,21194.82
DevOps,Lead,Germany,C++,Startup,25,170315.29
QA Engineer,Mid,Remote,Javascript,Mid-Size,13,102744.93
Sales,Principal,Germany,Rust,Mid-Size,3,228132.65
Designer,Senior,Germany,Javascript,Startup,3,83240.4
HR,Junior,India,Javascript,Big Tech,20,24372.78
Software Engineer,Junior,London,Rust,Mid-Size,14,94701.37
Software Engineer,Lead,India,Go,Startup,7,48349.92
Product Manager,Mid,Remote,Rust,Startup,25,127965.34
QA Engineer,Lead,London,Javascript,Big Tech,3,197077.13
Data Scientist,Senior,New York,C++,Startup,15,201822.37
Designer,Lead,New York,C++,Startup,20,218282.58
DevOps,Junior,Remote,C++,Mid-Size,3,75932.56
Data Scientist,Junior,India,Go,Startup,15,18930.82
HR,Principal,SF,Python,Startup,21,271109.91
QA Engineer,Principal,Remote,Rust,Mid-Size,11,333444.37
HR,Senior,London,C++,Big Tech,15,199184.09
Sales,Mid,London,Rust,Big Tech,18,170685.48
DevOps,Lead,Germany,C++,Mid-Size,7,187959.72
Sales,Senior,New York,Go,Mid-Size,5,205215.25
Product Manager,Principal,London,Python,Big Tech,9,408459.2
HR,Lead,Remote,Python,Big Tech,4,200722.38
Product Manager,Principal,London,C++,Big Tech,17,506995.47
Software Engineer,Lead,Remote,Go,Big Tech,9,336258.36
Sales,Mid,SF,Java,Big Tech,9,200728.98
QA Engineer,Senior,Germany,Rust,Mid-Size,6,136986.81
HR,Lead,New York,Rust,Startup,17,192023.9
Designer,Junior,London,Javascript,Big Tech,0,70315.07
DevOps,Junior,Remote,Go,Big Tech,6,114589.04
Data Scientist,Lead,India,Javascript,Startup,20,44583.3
QA Engineer,Lead,New York,C++,Startup,0,150627.6
QA Engineer,Lead,SF,Javascript,Startup,14,210081.11
Product Manager,Junior,Remote,Python,Startup,3,57319.29
Sales,Junior,Germany,Rust,Startup,19,61042.61
HR,Lead,Germany,Javascript,Startup,9,120603.11
HR,Principal,SF,Python,Mid-Size,22,367225.89
Software Engineer,Principal,SF,Go,Startup,8,384444.73
Software Engineer,Mid,Germany,Javascript,Startup,1,55651.37
DevOps,Senior,London,C++,Mid-Size,13,188213.71
Product Manager,Principal,London,C++,Startup,15,270074.8
QA Engineer,Junior,Remote,C++,Big Tech,0,74470.11
HR,Principal,India,Rust,Big Tech,1,78974.9
Designer,Mid,Remote,Javascript,Startup,6,68456.95
Product Manager,Mid,India,Go,Mid-Size,9,37336.97
DevOps,Senior,SF,Javascript,Big Tech,21,354307.77
DevOps,Principal,New York,Rust,Mid-Size,19,505895.58
Product Manager,Junior,Remote,Python,Big Tech,0,89047.51
DevOps,Junior,Remote,Rust,Startup,12,68442.13
Product Manager,Lead,India,C++,Mid-Size,0,51373.28
Data Scientist,Junior,SF,Python,Mid-Size,4,98509.28
Product Manager,Senior,SF,C++,Mid-Size,15,293797.44
Sales,Senior,India,Java,Big Tech,14,58099.43
Product Manager,Junior,SF,Rust,Big Tech,16,217368.36
DevOps,Junior,Germany,Rust,Big Tech,22,125230.1
HR,Lead,London,Go,Startup,15,166545.54
Sales,Junior,Germany,Javascript,Big Tech,12,88575.96
DevOps,Lead,New York,Python,Startup,10,213628.31
Software Engineer,Lead,Remote,Python,Mid-Size,16,237809.84
Software Engineer,Junior,New York,Go,Mid-Size,16,127554.12
HR,Mid,Remote,Go,Startup,1,66561.85
HR,Mid,London,Javascript,Big Tech,12,127536.35
Sales,Lead,SF,C++,Startup,13,234792.12
Data Scientist,Junior,Germany,Javascript,Mid-Size,10,67751.35
HR,Mid,India,Rust,Mid-Size,9,25465.97
Software Engineer,Junior,Germany,C++,Startup,2,43719.69
Product Manager,Junior,London,Java,Big Tech,16,121842.4
DevOps,Junior,New York,Javascript,Big Tech,14,160167.14
Software Engineer,Principal,India,Go,Startup,8,65135.87
Software Engineer,Junior,SF,C++,Startup,9,75360.78
Data Scientist,Principal,London,Javascript,Big Tech,7,357314.17
Sales,Lead,India,Python,Mid-Size,20,56128.79
Sales,Mid,London,Java,Startup,12,83255.79
QA Engineer,Mid,London,Rust,Big Tech,17,167860.51
Data Scientist,Mid,SF,Python,Big Tech,4,200815.7
Product Manager,Mid,Remote,Python,Mid-Size,5,108294.41
Sales,Mid,India,Java,Mid-Size,16,30915.76
DevOps,Mid,SF,Rust,Mid-Size,10,197617.89
HR,Mid,London,Go,Mid-Size,19,107910.21
Data Scientist,Lead,SF,C++,Mid-Size,15,337696.6
HR,Junior,Remote,Rust,Startup,8,51554.66
Software Engineer,Senior,Germany,Javascript,Big Tech,1,155408.15
DevOps,Principal,India,Python,Startup,4,50284.2
DevOps,Senior,Remote,Javascript,Startup,0,106185.18
Software Engineer,Senior,New York,Go,Startup,3,164082.87
Data Scientist,Junior,India,Javascript,Startup,3,12907.11
Software Engineer,Junior,Remote,Rust,Startup,21,72492.47
HR,Junior,London,Javascript,Mid-Size,25,66859.75
QA Engineer,Mid,India,Go,Mid-Size,24,31357.09
DevOps,Lead,India,Go,Big Tech,2,70858.55
Designer,Mid,SF,Go,Startup,8,120082.75
Designer,Lead,London,Rust,Big Tech,21,324714.17
HR,Lead,New York,Go,Mid-Size,22,255723.2
Product Manager,Senior,Germany,Python,Mid-Size,11,154131.91
Sales,Senior,Remote,Go,Mid-Size,9,186523.67
Software Engineer,Lead,SF,Javascript,Startup,1,194967.91
Software Engineer,Lead,Remote,C++,Startup,10,182922.54
Product Manager,Mid,New York,Javascript,Mid-Size,9,170749.39
Product Manager,Mid,New York,C++,Big Tech,21,257062.01
HR,Senior,India,Javascript,Big Tech,5,38288.42
HR,Junior,New York,Rust,Mid-Size,17,99476.32
Product Manager,Lead,Remote,Javascript,Big Tech,1,234108.66
DevOps,Mid,London,Rust,Mid-Size,1,113253.98
HR,Senior,London,Rust,Big Tech,9,186842.75
QA Engineer,Mid,India,Go,Mid-Size,15,29970.13
HR,Lead,Germany,Python,Big Tech,11,218546.14
Software Engineer,Lead,Remote,C++,Startup,0,123067.09
HR,Principal,Remote,Go,Mid-Size,20,290736.59
DevOps,Junior,New York,Go,Mid-Size,7,115490.8
Product Manager,Principal,Remote,Rust,Big Tech,15,588733.82
Software Engineer,Senior,SF,Rust,Mid-Size,17,291969.51
HR,Mid,Germany,C++,Mid-Size,12,87222.82
DevOps,Senior,New York,Javascript,Mid-Size,14,264185.16
QA Engineer,Lead,SF,Javascript,Startup,20,219173.18
HR,Principal,India,Go,Startup,11,56441.77
DevOps,Principal,London,Java,Big Tech,7,406226.11
QA Engineer,Principal,India,Java,Startup,9,47847.4
Product Manager,Senior,London,Javascript,Big Tech,13,282621.97
HR,Lead,India,Java,Startup,4,25264.84
QA Engineer,Mid,Remote,Javascript,Big Tech,17,155124.68
Software Engineer,Mid,SF,Rust,Startup,18,159007.56
Product Manager,Senior,London,Go,Startup,14,166075.32
Software Engineer,Principal,New York,Python,Big Tech,5,486318.22
Designer,Junior,SF,Go,Mid-Size,10,112142.95
Data Scientist,Senior,New York,Javascript,Mid-Size,20,262136.42
HR,Senior,SF,Javascript,Startup,10,141677.04
QA Engineer,Lead,SF,Go,Big Tech,19,423696.54
Data Scientist,Mid,India,C++,Mid-Size,19,36294.99
Data Scientist,Senior,London,Javascript,Big Tech,20,264505.93
QA Engineer,Senior,London,Java,Mid-Size,17,132803.68
Product Manager,Principal,SF,Java,Big Tech,24,780870.62
HR,Principal,Remote,Javascript,Startup,17,191149.75
Designer,Junior,Remote,Javascript,Big Tech,9,88137.64
Software Engineer,Lead,New York,C++,Mid-Size,1,224134.35
DevOps,Junior,New York,Java,Startup,25,85998.65
Software Engineer,Principal,India,Javascript,Big Tech,8,94013.25
DevOps,Mid,SF,Javascript,Mid-Size,13,173246.97
Software Engineer,Principal,New York,C++,Startup,18,332137.63
QA Engineer,Lead,New York,C++,Big Tech,9,340513.36
Designer,Principal,Germany,Go,Mid-Size,22,299067.09
HR,Lead,SF,C++,Big Tech,3,312439.19
DevOps,Lead,India,Python,Big Tech,5,73500.0
HR,Lead,New York,Java,Startup,13,193756.51
HR,Lead,India,Go,Startup,3,31546.13
HR,Lead,London,Python,Mid-Size,25,164228.35
Sales,Mid,India,Javascript,Startup,14,20352.76
Product Manager,Junior,Remote,Javascript,Mid-Size,15,97101.91
Software Engineer,Senior,Remote,Go,Big Tech,6,248200.65
HR,Junior,India,C++,Big Tech,16,23079.69
Software Engineer,Lead,Remote,Javascript,Mid-Size,18,220855.24
HR,Mid,London,Rust,Big Tech,18,140883.54
DevOps,Principal,SF,Go,Startup,16,429727.04
Product Manager,Mid,Remote,Python,Big Tech,5,155054.35
Product Manager,Lead,Remote,Go,Startup,10,220603.32
QA Engineer,Mid,India,Java,Mid-Size,15,26172.09
Sales,Mid,London,C++,Mid-Size,24,117943.85
QA Engineer,Lead,SF,C++,Big Tech,7,366503.1
QA Engineer,Mid,India,Go,Big Tech,10,34497.7
QA Engineer,Senior,India,Javascript,Startup,6,24836.18
QA Engineer,Senior,Germany,Javascript,Startup,25,96973.15
QA Engineer,Mid,London,Rust,Big Tech,23,163588.46
Designer,Principal,SF,Rust,Big Tech,21,674112.35
Product Manager,Lead,London,C++,Mid-Size,24,252053.59
QA Engineer,Senior,SF,Rust,Mid-Size,18,242748.98
HR,Principal,London,Python,Mid-Size,25,225968.38
Product Manager,Mid,India,Rust,Big Tech,9,50628.9
Product Manager,Principal,India,Python,Big Tech,8,111808.56
Data Scientist,Junior,New York,Rust,Big Tech,3,148284.44
Designer,Senior,Remote,C++,Mid-Size,22,168555.36
QA Engineer,Mid,Germany,C++,Big Tech,14,134941.5
Software Engineer,Lead,London,Python,Startup,12,155917.55
DevOps,Mid,Germany,Go,Big Tech,24,150975.41
Sales,Lead,New York,C++,Big Tech,1,305083.67
HR,Mid,Remote,Go,Big Tech,1,111871.2
Software Engineer,Principal,London,Javascript,Big Tech,15,408279.0
Designer,Principal,SF,Python,Big Tech,8,528949.44
DevOps,Principal,Remote,C++,Startup,12,286196.81
Designer,Junior,India,Java,Startup,2,10789.07
HR,Lead,New York,Javascript,Big Tech,8,293262.25
Product Manager,Principal,Remote,Go,Mid-Size,12,414190.6
DevOps,Junior,Remote,C++,Big Tech,20,120941.94
Product Manager,Lead,India,Python,Big Tech,21,90842.98
HR,Mid,London,Rust,Big Tech,1,100958.16
Software Engineer,Junior,SF,Java,Mid-Size,7,96186.62
HR,Senior,India,Go,Mid-Size,8,35609.16
Software Engineer,Junior,SF,Javascript,Mid-Size,15,120783.17
DevOps,Junior,London,Python,Startup,1,45534.86
DevOps,Lead,Remote,Java,Mid-Size,5,219237.71
QA Engineer,Mid,SF,Python,Startup,21,116971.81
Designer,Senior,New York,C++,Startup,7,139127.07
QA Engineer,Principal,New York,Rust,Mid-Size,25,440495.61
Designer,Principal,India,Javascript,Mid-Size,4,59245.58
QA Engineer,Junior,London,Python,Mid-Size,8,61499.39
Product Manager,Lead,India,Go,Startup,0,42039.13
DevOps,Lead,India,C++,Big Tech,8,82809.13
Software Engineer,Principal,Germany,C++,Mid-Size,9,274781.84
Designer,Senior,India,Javascript,Mid-Size,22,44226.25
